Reference,Complete Reference
[23791] XIANG LU (2020),"[23791] XIANG LU, WANG RU-CHENG, ROMER R. L., CHE XUDONG, HU HUAN, XIE LEI, TIAN ENNONG:    NEOPROTEROZOIC NB-TA-W-SN BEARING TOURMALINE LEUCOGRANITE IN THE WESTERN PART OF JIANGNAN OROGEN: IMPLICATIONS FOR EPISODIC MINERALIZATION IN SOUTH CHINA    LITHOS 360-361 (105450)  [2020]     doi: 10.1016/j.lithos.2020.105450"
[23933] XIE ZHIPENG (2020),"[23933] XIE ZHIPENG, XUE CHUAN-DONG, IVKO B., XIANG KUN, XIN DI:    PETROGENESIS AND GEODYNAMIC IMPLICATIONS OF EARLY CRETACEOUS HIGHLY FRACTIONATED LEUCOGRANITES IN THE NORTHERN LANPING-SIMAO TERRANE, EASTERN TIBETAN PLATEAU    J. ASIAN EARTH SCI. 197 (104340)  [2020]     doi: 10.1016/j.jseaes.2020.104340"
[24019] GUDELIUS D. (2020),"[24019] GUDELIUS D., ZEH A., WILSON A. H.:    ZIRCON FORMATION IN MAFIC AND FELSIC ROCKS OF THE BUSHVELD COMPLEX, SOUTH AFRICA: CONSTRAINTS FROM COMPOSITION, ZONING, TH/U RATIOS, MORPHOLOGY, AND MODELLING    CHEM. GEOL. 546 (119647)  [2020]     doi: 10.1016/j.chemgeo.2020.119647"
[24056] ROTTIER B. (2020),"[24056] ROTTIER B., AUDETAT A., KODERA P., LEXA J.:    MAGMATIC EVOLUTION OF THE MINERALIZED ŠTIAVNICA VOLCANO (CENTRAL SLOVAKIA): EVIDENCE FROM THERMOBAROMETRY, MELT INCLUSIONS, AND SULFIDE INCLUSIONS    J. VOLCANOL. GEOTHERM. RES. 401 (106967)  [2020]     doi: 10.1016/j.jvolgeores.2020.106967"
[24081] MOLINA P. G. (2020),"[24081] MOLINA P. G., PARADA M. A., MA CHANGQIAN:    ZIRCON INHERITANCE FROM LONG-LIVED SOURCES OF LATE TRIASSIC POST-OROGENIC PLUTONS, HIGH ANDES, CENTRAL CHILE (~30°S): MAGMATIC FEEDBACKS AND PETROGENETIC IMPLICATIONS    LITHOS 370-371 (105662)  [2020]     doi: 10.1016/j.lithos.2020.105662"
[24219] ZHANG HONGRUI (2020),"[24219] ZHANG HONGRUI, YANG TIANNAN, HOU ZENGQIAN, WANG YANG:    MAGMATIC EXPRESSION OF TECTONIC TRANSITION FROM OCEANIC SUBDUCTION TO CONTINENTAL COLLISION: INSIGHTS FROM THE MIDDLE TRIASSIC RHYOLITES OF THE NORTH QIANGTANG BLOCK    GONDWANA RES. 87   [2020]  67-82    doi: 10.1016/j.gr.2020.05.012"
[24242] GUDELIUS D. (2020),"[24242] GUDELIUS D., PEASE V. L., ALMEEV R. R., WILSON A. H., FISCHER L. A., SCHMITT A. K.:    ZIRCON MELT INCLUSIONS IN MAFIC AND FELSIC ROCKS OF THE BUSHVELD COMPLEX - CONSTRAINTS FOR ZIRCON CRYSTALLIZATION TEMPERATURES AND PARTITION COEFFICIENTS    GEOCHIM. COSMOCHIM. ACTA 289   [2020]  158-181    doi: 10.1016/j.gca.2020.08.027"
[24272] DOMNICK U. (2020),"[24272] DOMNICK U., COOK N. J., CIOBANU C. L., COURTNEY-DAVIES L., DMITRIEVA M. T., VERDUGO-IHL M. R., XU JING, KEYSER W., SLATTERY A., KENNEDY A. K., BLUCK R.:    MICRON- TO NANOSCALE CHARACTERISATION AND U-PB GEOCHRONOLOGY OF ZIRCON FROM GRANITES OF THE SAMPHIRE PLUTON, SOUTH AUSTRALIA    PREC. RESEARCH 350 (105924)  [2020]     doi: 10.1016/j.precamres.2020.105924"
[24376] WANG JIAN (2020),"[24376] WANG JIAN, SU YUPING, ZHENG JIAN-PING, BELOUSOVA E. A., CHEN MING, DAI HONG-KUN, ZHOU LIANG:    SLAB ROLL-BACK TRIGGERED BACK-ARC EXTENSION SOUTH OF THE PALEO-ASIAN OCEAN: INSIGHTS FROM DEVONIAN MORB-LIKE DIABASE DYKES FROM THE CHINESE ALTAI    LITHOS 376-377 (105790)  [2020]     doi: 10.1016/j.lithos.2020.105790"
[24386] DESSOUKY O. K. (2021),"[24386] DESSOUKY O. K., SUN WEI-DONG, IBRAHIM W. S., ALI H. H., HASSAN M. M., LI CONG-YING, OMRAN A. A.:    NEW INSIGHTS INTO CRYOGENIAN ARC GRANITOIDS HOSTING TH-U MINERALIZED EDIACARAN SYENOGRANITE DIKES, RA’S ABDAH AREA IN THE NORTHERN EGYPTIAN NUBIAN SHIELD: CONSTRAINTS FROM U-PB AGES AND ZIRCON GEOCHEMISTRY    PREC. RESEARCH 352 (105986)  [2021]     doi: 10.1016/j.precamres.2020.105986"
[24442] DOU JINGZHAO (2021),"[24442] DOU JINGZHAO, HUANG XIGUANG, CHEN FUKUN:    SUCCESSIVE MAGMA MIXING IN DEEP-SEATED MAGMA CHAMBERS RECORDED IN ZIRCON FROM MAFIC MICROGRANULAR ENCLAVES IN THE TRIASSIC MISHULING GRANITIC PLUTON, WESTERN QINLING, CENTRAL CHINA    J. S. AMER. EARTH SCI. 105 (104656)  [2021]     doi: 10.1016/j.jseaes.2020.104656"
